,lat,lng,streetname
9,37.76246977829959,-122.50188423578949,IRVING ST
10,37.76248954819111,-122.50142078421054,IRVING ST
11,37.76250915089912,-122.50095733263159,IRVING ST
12,37.76253047713295,-122.50049388105265,IRVING ST
13,37.76255389588711,-122.5000304294737,IRVING ST
14,37.76257720938825,-122.49956697789474,IRVING ST
15,37.76259972014231,-122.4991035263158,IRVING ST
16,37.762622230896376,-122.49864007473685,IRVING ST
17,37.762640530283754,-122.4981766231579,IRVING ST
18,37.7626579004437,-122.49771317157895,IRVING ST
19,37.76267679910701,-122.49724972000001,IRVING ST
20,37.76269706442513,-122.49678626842106,IRVING ST
21,37.762717371183136,-122.49632281684211,IRVING ST
22,37.76273793000952,-122.49585936526317,IRVING ST
23,37.76275880895274,-122.49539591368422,IRVING ST
24,37.762778345741395,-122.49493246210527,IRVING ST
25,37.76279769237226,-122.49446901052633,IRVING ST
26,37.762817604789426,-122.49400555894738,IRVING ST
27,37.76283794300064,-122.49354210736843,IRVING ST
28,37.76285881474273,-122.49307865578949,IRVING ST
29,37.762881207608054,-122.49261520421054,IRVING ST
30,37.762903600473386,-122.49215175263159,IRVING ST
31,37.76292255094895,-122.49168830105263,IRVING ST
32,37.76294114527864,-122.4912248494737,IRVING ST
33,37.76295932124033,-122.49076139789474,IRVING ST
34,37.76297725291825,-122.49029794631579,IRVING ST
35,37.76299676262597,-122.48983449473685,IRVING ST
36,37.763019586040734,-122.4893710431579,IRVING ST
37,37.7630424094555,-122.48890759157895,IRVING ST
38,37.763063081979936,-122.48844414000001,IRVING ST
39,37.763083697372906,-122.48798068842106,IRVING ST
40,37.763104694978196,-122.48751723684211,IRVING ST
41,37.76312586089069,-122.48705378526317,IRVING ST
42,37.76314890237503,-122.48659033368422,IRVING ST
43,37.76317507638328,-122.48612688210527,IRVING ST
44,37.763200935353034,-122.48566343052632,IRVING ST
45,37.76321994152322,-122.48519997894738,IRVING ST
46,37.763238947693395,-122.48473652736843,IRVING ST
47,37.76325999906829,-122.48427307578947,IRVING ST
48,37.76328191611955,-122.48380962421054,IRVING ST
49,37.763305001354865,-122.48334617263158,IRVING ST
50,37.763329721720574,-122.48288272105263,IRVING ST
51,37.76335320980168,-122.4824192694737,IRVING ST
52,37.76337000152555,-122.48195581789474,IRVING ST
53,37.763386793249424,-122.48149236631579,IRVING ST
54,37.76340301892063,-122.48102891473684,IRVING ST
55,37.76341917634239,-122.4805654631579,IRVING ST
